ngram,Intensity/max.value,ST/max.value,SP/max.value
가로막히/VV,Medium,Judgment,POS
가르치/VV,Medium,Argument,POS
가르치/VV;는/ETM,Medium,Judgment,POS
가르치/VV;는/ETM;책/NNG,Medium,Judgment,POS
가르치/VV;ㄹ/ETM,Medium,Others,POS
가르치/VV;ㄹ/ETM;수/NNB,Medium,Argument,POS
가르치/VV;려면/EC,Low,Judgment,POS
가르치/VV;려면/EC;공부/NNG,Low,Argument,POS
가리/VV,High,Judgment,NEG
가리/VV;지/EC,High,Judgment,POS
가리/VV;지/EC;않/VX,High,Judgment,NEG
가사/NNG,Medium,Judgment,NEG
가사/NNG;노동/NNG,Medium,Emotion,POS
가사/NNG;노동/NNG;에/JKB,Medium,Judgment,NEG
가스/NNG,Medium,Judgment,NEG
가스/NNG;가/JKS,Medium,Judgment,POS
가스/NNG;가/JKS;새/VV,Medium,Judgment,NEG
가슴/NNG,Medium,Emotion,POS
가슴/NNG;은/JX,Medium,Speculation,POS
가슴/NNG;은/JX;녹아내리/VV,Medium,Emotion,NEG
가슴/NNG;을/JKO,Medium,Judgment,POS
가슴/NNG;을/JKO;치밀/VV,Medium,Argument,POS
가슴/NNG;이/JKS,High,Judgment,POS
가슴/NNG;이/JKS;떨리/VV,Medium,Emotion,POS
가슴/NNG;이/JKS;뛰/VV,High,Emotion,POS
가슴/NNG;이나/JC,Medium,Judgment,POS
가슴/NNG;이나/JC;이빨/NNG,Medium,Argument,POS
가을/NNG,Medium,Argument,POS
가을/NNG;같/VA,Medium,Judgment,POS
가장/MAG,Medium,Judgment,POS
가장/MAG;고독/NNG,Medium,Judgment,POS
가장/MAG;고독/NNG;하/XSA,Medium,Judgment,POS
가장/MAG;긍정/NNG,High,Argument,POS
가장/MAG;긍정/NNG;적/XSN,High,Judgment,POS
가장/MAG;길/VA,Medium,Argument,POS
가장/MAG;깜찍/XR,Medium,Judgment,POS
가장/MAG;깜찍/XR;하/XSA,Medium,Judgment,NEG
가장/MAG;내용/NNG,Medium,Judgment,POS
가장/MAG;내용/NNG;이/JKS,Medium,Judgment,NEG
가장/MAG;널리/MAG,Medium,Judgment,POS
가장/MAG;널리/MAG;알리/VV,Medium,Judgment,POS
가장/MAG;단적/NNG,High,Emotion,POS
가장/MAG;단적/NNG;으로/JKB,High,Judgment,POS
가장/MAG;많이/MAG,Low,Argument,POS
가장/MAG;많이/MAG;발생/NNG,Low,Judgment,POS
가장/MAG;먼저/MAG,High,Emotion,POS
가장/MAG;먼저/MAG;필요/NNG,High,Judgment,POS
가장/MAG;상식/NNG,Medium,Argument,POS
가장/MAG;상식/NNG;적/XSN,Medium,Judgment,POS
가장/MAG;성공/NNG,Medium,Argument,POS
가장/MAG;성공/NNG;하/XSV,Medium,Judgment,POS
가장/MAG;솔직/XR,High,Judgment,POS
가장/MAG;솔직/XR;하/XSA,High,Judgment,POS
가장/MAG;아름답/VA,High,Judgment,POS
가장/MAG;아름답/VA;게/EC,High,Judgment,POS
가장/MAG;어렵/VA,Medium,Judgment,POS
가장/MAG;어렵/VA;ㄴ/ETM,Medium,Judgment,POS
가장/MAG;위협/NNG,High,Judgment,POS
가장/MAG;위협/NNG;하/XSV,High,Judgment,POS
가장/MAG;인기/NNG,High,Judgment,POS
가장/MAG;인기/NNG;이/VCP,High,Judgment,POS
가장/MAG;일관/XR,High,Judgment,POS
가장/MAG;일관/XR;되/XSV,High,Judgment,POS
가장/MAG;전문가/NNG,Medium,Judgment,POS
가장/MAG;전문가/NNG;집단/NNG,Medium,Judgment,POS
가장/MAG;좋/VA,High,Judgment,POS
가장/MAG;좋/VA;아/EC,Medium,Emotion,POS
가장/MAG;친근/XR,Medium,Emotion,NEG
가장/MAG;친근/XR;하/XSA,Medium,Argument,NEG
가장/MAG;크/VA,Medium,Judgment,NEG
가장/MAG;크/VA;ㄴ/ETM,Medium,Judgment,NEG
가장/MAG;하/XSV,High,Judgment,POS
가장/MAG;하/XSV;ㄴ/ETM,High,Judgment,POS
가장/MAG;흉내/NNG,High,Emotion,POS
가장/MAG;흉내/NNG;내/VV,High,Judgment,NEG
가족/NNG,Medium,Argument,NEG
가족/NNG;들/XSN,Medium,Judgment,POS
가족/NNG;들/XSN;이/JKS,Medium,Judgment,NEG
가족/NNG;은/JX,High,Intention,POS
가족/NNG;은/JX;결코/MAG,High,Intention,NEG
가족/NNG;이/JKS,Medium,Judgment,POS
가족/NNG;이/JKS;있/VV,Medium,Argument,POS
가족/NNG;이/JKS;함께/MAG,Medium,Judgment,POS
가족/NNG;하고*/JKB,Medium,Judgment,POS
가족/NNG;하고*/JKB;함께/MAG,Medium,Argument,POS
가증/XR,Medium,Judgment,NEG
가증/XR;스럽/XSA,Medium,Judgment,NEG
가지/NNB,High,Judgment,NEG
가지/NNB;가/JKS,Low,Judgment,POS
가지/NNB;가/JKS;넘/VV,Low,Argument,POS
가지/NNB;단점/NNG,High,Argument,POS
가지/NNB;단점/NNG;이/JKS,High,Judgment,POS
가지/NNB;문제/NNG,Medium,Judgment,POS
가지/VV,Medium,Argument,NEG
가지/VV;고/EC,Low,Judgment,NEG
가지/VV;고/EC;오/VX,Low,Argument,POS
가지/VV;ㄴ/ETM,High,Argument,NEG
가지/VV;ㄴ/ETM;사람/NNG,Low,Argument,POS
가지/VV;ㄴ/ETM;재주/NNG,High,Judgment,POS
가지/VV;ㄴ/ETM;제품/NNG,Medium,Argument,POS
가지/VV;어다/EC,Medium,Judgment,POS
가지/VV;어다/EC;놓/VX,Medium,Argument,NEG
가책/NNG,Medium,Argument,NEG
가책/NNG;이/JKS,Medium,Judgment,POS
가책/NNG;이/JKS;나/NP,Medium,Argument,NEG
가출/NNG,High,Judgment,POS
가출/NNG;하/XSV,High,Argument,POS
가치/NNG,Medium,Judgment,POS
가치/NNG;가/JKS,Medium,Others,NEG
가치/NNG;가/JKS;있/VV,Medium,Judgment,POS
가치/NNG;는/JX,Low,Judgment,POS
가치/NNG;는/JX;신/XPN,Low,Argument,POS
가치/NNG;를/JKO,Medium,Intention,POS
가치/NNG;를/JKO;높이/VV,Medium,Judgment,POS
가치/NNG;체계/NNG,Medium,Argument,POS
가치/NNG;체계/NNG;나/JC,Medium,Judgment,POS
가타부타/NNG,Low,Argument,NEUT
가타부타/NNG;아무런/MM,Low,Judgment,POS
가타부타/NNG;아무런/MM;응답/NNG,Low,Argument,POS
가파르/VA,Medium,Argument,NEUT
가파르/VA;고/EC,Medium,Argument,POS
가하/VV,Medium,Argument,POS
각광/NNG,Medium,Judgment,POS
각국/NNG,Low,Argument,NEG
각국/NNG;의/JKG,Low,Judgment,POS
각국/NNG;의/JKG;보건/NNG,Low,Argument,POS
각별/XR,High,Emotion,POS
각별/XR;하/XSA,High,Judgment,NEG
각별/XR;하/XSA;ㅁ/ETN,Medium,Judgment,POS
각별히/MAG,Medium,Emotion,POS
각성/NNG,High,Judgment,NEUT
각성/NNG;하/XSV,High,Argument,NEUT
각양각색/NNG,Medium,Judgment,NEG
각양각색/NNG;이/VCP,Medium,Argument,POS
각종/NNG,High,Judgment,POS
각종/NNG;범죄/NNG,High,Judgment,POS
각종/NNG;범죄/NNG;를/JKO,High,Judgment,POS
간/NNB,Medium,Argument,POS
간/NNB;상속/NNG,Medium,Emotion,POS
간곡/XR,Medium,Judgment,POS
간곡/XR;하/XSA,Medium,Judgment,NEG
간단히/MAG,Medium,Judgment,NEG
간밤/NNG,Medium,Argument,NEG
간밤/NNG;의/JKG,Medium,Argument,NEG
간밤/NNG;의/JKG;긴박/NNG,Medium,Argument,NEG
간신히/MAG,Medium,Argument,POS
간신히/MAG;매달리/VV,Medium,Judgment,POS
간신히/MAG;매달리/VV;어/EC,Medium,Argument,NEG
간주/NNG,Low,Judgment,POS
간주/NNG;하/XSV,Low,Judgment,POS
간첩/NNG,Medium,Judgment,NEG
간첩/NNG;등/NNB,Medium,Argument,POS
간첩/NNG;등/NNB;불순/NNG,Medium,Judgment,NEG
간편/XR,Medium,Judgment,POS
간편/XR;하/XSA,Medium,Argument,POS
간호/NNG,Medium,Judgment,POS
갇히/VV,Medium,Argument,NEG
갇히/VV;어/EC,Medium,Argument,POS
갇히/VV;어/EC;있/VX,Medium,Argument,POS
갈구/NNG,Medium,Intention,POS
갈구/NNG;하/XSV,Medium,Judgment,POS
갈등/NNG,Medium,Agreement,POS
갈수록/MAG,Medium,Judgment,NEG
갈수록/MAG;모자라/VV,Medium,Judgment,POS
갈피/NNG,Medium,Judgment,POS
갈피/NNG;를/JKO,Medium,Judgment,POS
갈피/NNG;를/JKO;못/MAG,Medium,Judgment,POS
갈피/NNG;마다/JX,Medium,Argument,POS
갈피/NNG;마다/JX;에/JKB,Medium,Judgment,POS
감/NNG,Medium,Emotion,POS
감/NNG;이/JKS,Medium,Judgment,NEG
감/NNG;이/JKS;들/VV,Medium,Emotion,POS
감/NNG;이/JKS;없/VA,Medium,Speculation,POS
감각/NNG,Low,Judgment,POS
감각/NNG;적/XSN,Low,Argument,NEG
감각/NNG;적/XSN;의지/NNG,Low,Judgment,POS
감내/NNG,High,Judgment,POS
감내/NNG;하/XSV,High,Argument,NEG
감내/NNG;하/XSV;지/EC,High,Judgment,POS
감독/NNG,Low,Argument,POS
감독/NNG;과*/JKB,Medium,Judgment,NEG
감독/NNG;과*/JKB;영화/NNG,Medium,Argument,NEG
감독/NNG;과/JKB,Low,Emotion,POS
감독/NNG;과/JKB;영화/NNG,Low,Argument,NEG
감독/NNG;을/JKO,Medium,Judgment,POS
감독/NNG;을/JKO;게을리/MAG,Medium,Argument,POS
감독/NNG;의/JKG,Low,Judgment,POS
감독/NNG;의/JKG;영화/NNG,Low,Argument,POS
감독/NNG;이/JKS,Low,Argument,POS
감독/NNG;이/JKS;갑자기/MAG,Low,Argument,POS
감독/NNG;이/JKS;미국/NNP,Low,Argument,POS
감동/NNG,Medium,Emotion,NEG
감동/NNG;깊/VA,Medium,Intention,POS
감동/NNG;으로/JKB,Medium,Judgment,POS
감사/NNG,High,Emotion,POS
감사/NNG;하/XSV,High,Judgment,POS
감사/NNG;하/XSV;ㅂ니다/EF,High,Emotion,POS
감칠맛/NNG,Medium,Judgment,NEG
감칠맛/NNG;나/VV,Medium,Judgment,POS
감탄사/NNG,Medium,Emotion,POS
감탄사/NNG;를/JKO,Medium,Judgment,POS
감탄사/NNG;를/JKO;연발/NNG,Medium,Emotion,POS
갑자기/MAG,Low,Argument,POS
갑자기/MAG;돌아오/VV,Low,Judgment,POS
갑자기/MAG;돌아오/VV;았/EP,Low,Argument,POS
갑자기/MAG;호흡/NNG,Medium,Argument,POS
갑자기/MAG;호흡/NNG;이/JKS,Medium,Argument,POS
갑작스레/MAG,Medium,Argument,NEG
갑작스레/MAG;꿈/NNG,Medium,Argument,POS
갑작스레/MAG;꿈/NNG;에서/JKB,Medium,Argument,POS
값/NNG,Medium,Judgment,NEG
값/NNG;등/NNB,Medium,Argument,POS
값/NNG;등/NNB;을/JKO,Medium,Judgment,POS
값/NNG;싸/VA,Low,Argument,NEG
값/NNG;싸/VA;고/EC,Low,Argument,POS
값/NNG;으로/JKB,Medium,Argument,POS
값/NNG;으로/JKB;팔리/VV,Medium,Argument,POS
값싸/VA,Medium,Judgment,POS
강군/NNG,Medium,Judgment,POS
강단/NNG,Low,Judgment,NEG
강단/NNG;교류/NNG,Low,Judgment,POS
강도/NNG,High,Argument,NEG
강도/NNG;높/VA,High,Emotion,POS
강도/NNG;높/VA;게/EC,High,Argument,POS
강도/NNG;있/VV,Medium,Emotion,POS
강력/XR,High,Judgment,POS
강력/XR;하/XSA,High,Judgment,NEG
강력/XR;하/XSA;ㄴ/ETM,High,Judgment,POS
강렬/XR,Medium,Judgment,POS
강렬/XR;하/XSA,Medium,Emotion,NEG
강물/NNG,Medium,Argument,POS
강물/NNG;위/NNG,Medium,Argument,NEG
강물/NNG;위/NNG;에/JKB,Medium,Argument,POS
강박/NNG,High,Emotion,POS
강박/NNG;에/JKB,High,Argument,NEG
강박/NNG;에/JKB;시달리/VV,High,Emotion,POS
강요/NNG,Medium,Judgment,NEG
강요/NNG;하/XSV,Medium,Argument,NEG
강의/NNG,Medium,Argument,NEG
강의/NNG;하/XSV,Medium,Judgment,COMP
강의/NNG;하/XSV;ㄴ다/EF,Medium,Argument,POS
강점/NNG,Medium,Others,POS
강점/NNG;으로/JKB,Medium,Argument,COMP
강점/NNG;으로/JKB;내세우/VV,Medium,Others,POS
강제/NNG,Medium,Intention,POS
강제/NNG;하/XSV,Medium,Argument,POS
강조/NNG,Medium,Argument,POS
강조/NNG;하/XSV,Medium,Judgment,POS
강하/VA,Medium,Judgment,NEG
강화/NNG,Medium,Judgment,NEG
강화/NNG;되/XSV,Medium,Argument,POS
강화/NNG;하/XSV,Medium,Judgment,POS
강화책/NNG,Medium,Judgment,POS
갖/VV,Medium,Argument,POS
갖/VV;게/EC,Medium,Judgment,POS
갖/VV;게/EC;되/VV,Medium,Argument,POS
갖/VV;지/EC,High,Argument,POS
갖/VV;지/EC;못하/VX,High,Argument,POS
갖가지/NNG,Medium,Judgment,NEG
갖가지/NNG;사회/NNG,Medium,Judgment,POS
갖가지/NNG;사회/NNG;적/XSN,Medium,Judgment,POS
갖추/VV,Medium,Judgment,NEG
같/VA,Medium,Judgment,POS
같/VA;다/EF,Medium,Argument,POS
같/VA;은/ETM,Medium,Argument,POS
같/VA;은/ETM;모호/XR,Medium,Judgment,POS
같/VA;은/ETM;연극/NNG,Medium,Judgment,POS
같/VA;은/ETM;영화/NNG,Medium,Judgment,POS
같/VA;은/ETM;인상/NNG,Medium,Judgment,POS
같/VA;은/ETM;입시/NNG,Medium,Judgment,NEG
같이/JKB,High,Argument,POS
같이/JKB;붓/NNG,Low,Argument,POS
같이/JKB;붓/NNG;을/JKO,Low,Argument,NEG
같이/JKB;비판/NNG,High,Emotion,NEG
같이/JKB;비판/NNG;하/XSV,High,Judgment,POS
같이/MAG,High,Agreement,POS
같이/MAG;하/VV,Low,Judgment,NEG
같이/MAG;허둥대/VV,High,Judgment,NEG
같이/MAG;허둥대/VV;며/EC,High,Argument,POS
갚/VV,High,Judgment,POS
갚/VV;는/ETM,High,Judgment,NEG
갚/VV;는/ETM;것/NNB,High,Judgment,POS
개/NNG,Medium,Judgment,POS
개념/NNG,Medium,Argument,POS
개념/NNG;만/JX,Medium,Argument,POS
개념/NNG;만/JX;벗어나/VV,Medium,Argument,POS
개방/NNG,Medium,Argument,POS
개방/NNG;정책/NNG,Medium,Others,POS
개방/NNG;정책/NNG;이/JKS,Medium,Argument,NEG
개선/NNG,Medium,Judgment,POS
개선/NNG;하/XSV,Medium,Intention,NEG
개선/NNG;하/XSV;아/EC,Medium,Argument,POS
개성/NNG,Medium,Judgment,POS
개성/NNG;어리/VV,Medium,Judgment,NEG
개성/NNG;있/VA,Medium,Argument,POS
개성/NNG;있/VV,Medium,Judgment,POS
개인/NNG,Low,Judgment,POS
개인/NNG;적/XSN,Low,Argument,POS
개인/NNG;적/XSN;견해/NNG,Medium,Judgment,POS
개인/NNG;적/XSN;자유/NNG,Low,Judgment,POS
개입/NNG,Medium,Judgment,POS
개조/NNG,Medium,Judgment,POS
개조/NNG;과제/NNG,Medium,Judgment,POS
개척/NNG,Medium,Argument,POS
개척/NNG;에/JKB,Medium,Argument,NEG
개척/NNG;에/JKB;본격/NNG,Medium,Argument,POS
개혁/NNG,Medium,Judgment,NEUT
개혁/NNG;등/NNB,Medium,Judgment,NEG
개혁/NNG;등/NNB;을/JKO,Medium,Judgment,POS
개혁/NNG;을/JKO,Medium,Agreement,POS
개혁/NNG;을/JKO;하/VV,Medium,Judgment,POS
객관/NNG,Medium,Argument,NEG
객관/NNG;적/XSN,Medium,Argument,POS
객관/NNG;적/XSN;실상/NNG,Medium,Judgment,POS
객관/NNG;화/XSN,Medium,Judgment,POS
객관/NNG;화/XSN;시키/XSV,Medium,Argument,NEG
거/NNB,Medium,Judgment,POS
거/NNB;같/VA,Medium,Argument,POS
거/NNB;이/VCP,Medium,Argument,POS
거/NNB;이/VCP;다/EC,Medium,Judgment,NEG
거/NP,Medium,Argument,POS
거꾸로/MAG,None,Others,POS
거나/EC,Medium,Argument,POS
거나/EC;가족/NNG,Medium,Argument,POS
거나/EC;가족/NNG;이/JKS,Medium,Argument,POS
거나/EC;목소리/NNG,Medium,Judgment,POS
거나/EC;목소리/NNG;높이/VV,Medium,Judgment,POS
거나/EC;의식/NNG,Medium,Judgment,POS
거나/EC;의식/NNG;장애/NNG,Medium,Argument,POS
거나/EC;인터뷰/NNG,High,Judgment,POS
거나/EC;인터뷰/NNG;를/JKO,High,Judgment,POS
거나/EC;자/VV,Medium,Judgment,POS
거나/EC;자/VV;다/EC,Medium,Argument,POS
거나/EC;포기/NNG,Medium,Judgment,POS
거나/EC;포기/NNG;하/XSV,Medium,Judgment,POS
거느리/VV,Medium,Judgment,NEG
거느리/VV;ㄴ/ETM,Medium,Argument,POS
거느리/VV;ㄴ/ETM;일직선/NNG,Medium,Judgment,POS
거대/XR,Medium,Argument,NEG
